rank	token_id	decoded	count_en	popcount
1	106821	'\xa0cm'	15261	28
2	129503	'Incumbent'	4030	28
3	60103	'\xa0mg'	3744	28
4	108173	'\xa0nm'	2848	28
5	92611	'householder'	2614	28
6	60174	'\xa0years'	2108	28
7	125162	'recessed'	1221	28
8	87396	'announcers'	896	28
9	86108	'\tL'	862	28
10	82113	'\xa0days'	849	28
11	126077	'passageway'	690	27
12	94097	'\tC'	644	28
13	115034	'longitudinally'	640	28
14	111033	'disulfide'	615	28
15	83080	'\tT'	548	28
16	91253	'\tJ'	461	28
17	49577	'sống'	450	1
18	98531	'magnetization'	438	28
19	116524	'bilayer'	438	28
20	130610	'\tD'	437	28
21	115993	'fluorine'	435	28
22	88974	'\tA'	396	28
23	101140	'Bảo'	388	1
24	102865	'stoichi'	371	28
25	121938	'cytoskeleton'	351	28
26	116820	'Divisão'	350	2
27	42749	'ời'	349	1
28	90309	'nitride'	310	28
29	109668	'apertures'	292	28
30	127350	'discriminant'	288	28
31	119660	'styrene'	272	28
32	84153	'\xa0months'	267	28
33	67938	'surfactant'	265	28
34	128428	'haplotypes'	262	28
35	128495	'methionine'	257	28
36	130171	'.Success'	254	28
37	101896	'refrigerant'	233	28
38	123047	'acetylation'	227	28
39	119030	'anionic'	226	28
40	109842	'Lâm'	222	4
41	85242	'Trường'	201	1
42	124853	'conformations'	196	28
43	92266	'toluene'	195	28
44	12760	'ững'	181	1
45	14917	'ức'	175	1
46	39341	'sovere'	160	28
47	97416	'interfacial'	158	28
48	89992	'*Note'	158	28
49	100033	'axially'	155	27
50	125336	'polypeptides'	153	28
51	42931	'nghiệp'	151	1
52	88340	'Từ'	151	1
53	43258	'cuối'	149	1
54	117948	'\xa0weeks'	142	27
55	64139	'Vương'	138	1
56	73604	'inexp'	137	27
57	45031	'covari'	133	28
58	117028	'Hiệp'	129	1
59	36215	'đường'	122	1
60	12981	'ối'	122	1
61	57951	'sáng'	119	8
62	22532	'ấu'	118	1
63	83716	'trẻ'	115	1
64	119095	'tumba'	112	28
65	45520	'thuật'	112	1
66	61657	'đình'	105	1
67	41745	'phố'	102	1
68	43053	'kỳ'	102	1
69	66789	'iễ'	101	1
70	64412	'cổ'	101	1
71	103498	'Thượng'	95	1
72	60815	'đời'	94	1
73	63949	'utwor'	91	27
74	120054	'iễn'	88	1
75	32577	'ưu'	88	1
76	19195	'ực'	82	1
77	45673	'đất'	82	1
78	93084	'trấn'	81	1
79	39328	'ùa'	81	3
80	12831	'ập'	80	1
81	53433	'tiết'	79	1
82	40678	'phương'	77	1
83	38141	'(player'	76	28
84	120383	'jarra'	76	28
85	108450	'elution'	74	28
86	69836	'tộc'	74	1
87	73471	'sức'	72	1
88	87095	'dục'	71	1
89	62901	'microgl'	71	28
90	64545	'tượng'	71	1
91	62282	'ạy'	68	1
92	39481	'nữ'	68	1
93	16437	'ễ'	67	1
94	99540	'Độ'	67	1
95	93020	'peonatos'	67	28
96	53909	'pjes'	67	28
97	70806	'escudo'	66	28
98	72421	'ẫu'	64	1
99	116482	'lược'	61	1
100	94227	'ước'	60	1
101	49946	'giao'	59	28
102	92581	'schematically'	58	28
103	126832	'Cơ'	58	1
104	64817	'cảnh'	58	1
105	115541	'iếp'	57	1
106	58992	'nhỏ'	57	1
107	67771	'sắc'	57	1
108	91190	'\tin'	56	28
109	109163	'nhìn'	56	2
110	76729	'doanh'	56	28
111	63547	'vấn'	56	1
112	23105	'chiến'	55	1
113	66730	'tuổi'	53	1
114	83141	'miền'	52	1
115	68196	'(ret'	52	28
116	87034	'Người'	52	1
117	32658	'điểm'	52	1
118	60231	'centrifuged'	50	28
119	129699	'amplic'	50	28
120	33992	'vật'	48	1
121	125867	'ỡ'	48	1
122	109972	'trái'	48	8
123	74175	'guvern'	46	28
124	50416	'bình'	46	2
125	53904	'mùa'	46	3
126	41174	'unemploy'	45	28
127	62573	'urești'	45	1
128	104507	'Một'	45	1
129	25393	'đội'	43	1
130	51369	'bất'	43	1
131	56334	'hạng'	43	1
132	34040	'giả'	42	1
133	52526	'phục'	42	1
134	94088	'sóng'	42	11
135	62370	'vương'	42	1
136	129144	'hereinafter'	42	28
137	89254	'khúc'	42	9
138	99059	'mật'	41	1
139	44798	'tiêu'	41	3
140	119599	'alkoxy'	41	27
141	55593	'ặp'	41	1
142	43395	'triển'	39	1
143	76481	'\u2009mm'	39	28
144	52075	'nhập'	39	1
145	30399	'Ə'	39	1
146	47778	'\u2009m'	39	28
147	72519	'lạc'	39	1
148	57345	'thân'	38	4
149	90669	'Tư'	38	1
150	115921	'Południ'	38	1
151	34940	'nhiên'	38	3
152	125566	'ikki'	38	28
153	22383	'ấy'	38	1
154	107256	'quanh'	37	27
155	100623	'bốn'	37	1
156	77215	'luận'	37	1
157	87053	'-valu'	37	28
158	80074	'ngôi'	37	5
159	88685	'garra'	37	28
160	78565	'ngoại'	36	1
161	128275	'(return'	36	28
162	129573	'iềm'	36	1
163	77540	'vũ'	35	1
164	78348	'oprec'	35	28
165	54130	'ẳng'	34	1
166	95121	'andingan'	34	28
167	21724	'ấp'	34	1
168	121095	'outlined'	34	28
169	40009	'ưới'	34	1
170	49338	'ậy'	33	1
171	4887	'ấ'	33	1
172	40133	'batal'	33	28
173	65860	'luật'	32	1
174	52086	'gisa'	32	28
175	110467	'unsubstituted'	32	28
176	40914	'tới'	32	1
177	67242	'Ngày'	31	7
178	86808	'cửa'	31	1
179	80154	'Đảng'	31	1
180	106308	'roq'	31	27
181	24856	'ợp'	30	1
182	82554	'niên'	30	3
183	110839	'zapis'	30	28
184	82460	'uvieron'	29	28
185	97715	'ământ'	29	2
186	32686	'tác'	29	8
187	60772	'biển'	28	1
188	95109	'Ấ'	28	1
189	66304	'sông'	27	5
190	125087	'(part'	27	28
191	60276	'Tổng'	27	1
192	20757	'\td'	27	28
193	78641	'đế'	27	1
194	103315	'Needed'	27	28
195	46109	'vẫn'	27	1
196	9488	'\tm'	26	28
197	129389	'shme'	26	28
198	56751	'chương'	26	1
199	98965	'khó'	25	11
200	74952	'atinine'	25	28
