rank	token_id	decoded	count_de	count_en	popcount
1	3608	'für'	3764749	8412	9
2	4710	'über'	1837367	1580	9
3	13760	'können'	1279661	39	9
4	1654	'ä'	802903	18160	6
5	1671	'ü'	610234	18370	9
6	15285	'ität'	484284	650	6
7	1792	'ö'	410839	22054	9
8	16636	'während'	386964	52	6
9	30315	'müssen'	386928	21	9
10	13135	'zurück'	369907	72	9
11	4397	'är'	340212	7993	6
12	18658	'Über'	332122	768	9
13	2592	'ür'	314023	6220	9
14	2884	'ß'	310319	4398	1
15	5105	'ät'	282702	2150	6
16	21068	'würde'	276257	8	9
17	26207	'daß'	260773	65	1
18	42226	'Körper'	230465	78	9
19	9449	'üt'	228756	2970	9
20	39991	'könnte'	223160	4	9
21	8165	'ünd'	220848	1178	9
22	8191	'ähr'	203591	485	6
23	35793	'häufig'	193222	5	6
24	8347	'ßen'	193069	736	1
25	29172	'möglich'	192707	8	9
26	31248	'wäre'	190439	19	6
27	3238	'ör'	187805	9959	9
28	9755	'ße'	186455	671	1
29	15193	'später'	180630	17	6
30	33526	'dafür'	179125	2	9
31	26320	'großen'	176276	108	1
32	27471	'große'	174054	177	1
33	49452	'führen'	168952	10	9
34	18754	'Für'	165809	882	9
35	21175	'prü'	163391	359	9
36	47328	'ügen'	159073	745	9
37	14139	'äd'	158549	1300	6
38	4803	'än'	158176	3611	6
39	22212	'Rück'	153710	327	9
40	19435	'äre'	151534	235	6
41	17360	'rä'	148676	836	6
42	4874	'ün'	147713	5138	9
43	37662	'mö'	147179	51	9
44	26518	'äg'	145336	489	6
45	29955	'gegenüber'	141620	15	9
46	30982	'weiß'	140782	63	1
47	10649	'äch'	140193	660	6
48	51265	'ählen'	139127	38	6
49	8134	'äng'	135177	1009	6
50	9391	'äh'	134428	683	6
51	15238	'ält'	134086	239	6
52	27806	'hätte'	133955	16	6
53	10527	'Ü'	133642	2443	9
54	6037	'ück'	131995	2694	9
55	38161	'führt'	131778	13	9
56	38746	'rän'	130247	62	6
57	24131	'fünf'	129671	80	9
58	10030	'ös'	129401	2254	9
59	35038	'groß'	128954	41	1
60	19369	'Ä'	128496	2232	6
61	42695	'darüber'	127865	12	9
62	5951	'änd'	125917	921	6
63	9132	'öl'	124013	5324	9
64	15623	'iß'	122562	1384	1
65	56609	'Möglichkeit'	122536	15	9
66	12352	'uß'	121074	1374	1
67	53951	'ächt'	118255	232	6
68	23639	'üss'	116947	939	9
69	8963	'äl'	115365	3817	6
70	38932	'lässt'	114746	24	6
71	38100	'ücken'	114717	1346	9
72	15506	'über'	112800	221	9
73	9835	'üh'	111328	1619	9
74	47276	'würden'	110160	2	9
75	72799	'möchte'	110118	16	9
76	30057	'ären'	110074	581	6
77	14125	'äm'	108410	1515	6
78	36092	'gehört'	107204	31	9
79	47842	'äger'	106916	469	6
80	34461	'ämp'	102138	155	6
81	31844	'hör'	101948	208	9
82	58764	'persön'	101894	9	9
83	42176	'Für'	100983	379	9
84	21786	'äß'	100727	194	1
85	28630	'ühl'	100355	2226	9
86	79161	'natürlich'	99184	5	9
87	27913	'zunächst'	98916	4	6
88	77146	'könnten'	98774	7	9
89	72798	'fäh'	98763	34	6
90	115664	'ährung'	98496	24	6
91	17651	'üg'	98478	773	9
92	39005	'Männer'	97640	178	6
93	34223	'lä'	96415	537	6
94	47546	'nächsten'	95348	9	6
95	51676	'heißt'	95210	30	1
96	18082	'öglich'	95121	16	9
97	36794	'Während'	93152	2	6
98	18300	'März'	91921	75	6
99	13201	'öt'	90547	3897	9
100	53513	'erhö'	90021	10	9
101	10837	'ög'	89967	1129	9
102	78076	'Fäh'	89888	27	6
103	23026	'ände'	88961	322	6
104	29349	'änge'	88919	503	6
105	32199	'führung'	88669	258	9
106	43893	'äuß'	88148	7	1
107	17494	'ständ'	86909	80	6
108	84374	'Fällen'	86779	0	6
109	37123	'ätze'	86297	213	6
110	13096	'führ'	86251	102	9
111	98905	'möglicherweise'	86102	0	9
112	36268	'Höhe'	85394	180	9
113	31615	'schließlich'	84870	2	1
114	77506	'ühlen'	84207	340	9
115	24084	'änder'	83600	504	6
116	25010	'Süd'	83341	2053	9
117	63808	'durchgeführt'	83256	0	9
118	54711	'enthält'	83182	11	6
119	54339	'ießen'	82821	354	1
120	51820	'ützen'	81964	648	9
121	56145	'Verfügung'	81442	3	9
122	13934	'ört'	80830	356	9
123	52907	'Mädchen'	80691	313	6
124	21267	'Groß'	80389	1675	1
125	58876	'Unterstützung'	80385	13	9
126	27619	'ühren'	80329	64	9
127	23907	'äft'	80042	124	6
128	49353	'gehören'	79997	5	9
129	41844	'veröffentlicht'	78949	37	9
130	16706	'König'	78728	1710	9
131	72737	'örung'	78339	66	9
132	68260	'änd'	77555	28	6
133	67332	'tatsächlich'	77352	2	6
134	68540	'ünft'	77224	29	9
135	52226	'stück'	76905	247	9
136	17225	'üll'	76621	1144	9
137	63844	'schön'	76563	227	9
138	46907	'Nähe'	76537	19	6
139	45013	'wür'	75604	108	9
140	98701	'Prüf'	75571	68	9
141	73947	'ünsch'	75450	78	9
142	4861	'ön'	75442	7343	9
143	67007	'erklärt'	74839	19	6
144	52720	'itäten'	74786	83	6
145	10476	'Ö'	74786	9151	9
146	59490	'überhaupt'	74606	24	9
147	49137	'natür'	74543	50	9
148	23227	'äss'	74178	675	6
149	56346	'hätten'	74044	5	6
150	24497	'ätz'	73806	505	6
151	7088	'ühr'	73429	545	9
152	27423	'ließ'	72767	6	1
153	59363	'ätzen'	72739	36	6
154	76028	'gefähr'	72163	16	6
155	62684	'ähn'	72078	6	6
156	35364	'außer'	71653	26	1
157	30776	'ören'	71373	1054	9
158	26628	'häng'	70212	31	6
159	28080	'führte'	70168	1	9
160	50605	'früh'	69977	60	9
161	80782	'maß'	69916	28	1
162	65452	'benöt'	69660	0	9
163	42759	'Übers'	69659	93	9
164	58034	'üsse'	69338	86	9
165	26217	'Bürger'	69188	334	9
166	87892	'itäts'	68907	471	6
167	33035	'äst'	68609	1829	6
168	88217	'ermöglicht'	68606	1	9
169	44218	'Außerdem'	68150	2	1
170	60241	'erhält'	68137	4	6
171	38676	'Bevölkerung'	68035	16	9
172	53167	'ösen'	67823	82	9
173	99750	'üllen'	67394	86	9
174	22018	'Fuß'	67355	92	1
175	68755	'Geschäfts'	67293	32	6
176	12972	'äter'	67118	252	6
177	76975	'-jähr'	67111	18	6
178	92233	'Lösung'	67094	30	9
179	114507	'örungen'	67014	20	9
180	23846	'ünst'	66873	46	9
181	41253	'Präsident'	66451	31	6
182	62467	'vollständig'	65888	12	6
183	69623	'Größe'	65497	12	1
184	65903	'Ländern'	65341	23	6
185	30065	'Gründ'	65225	197	9
186	67256	'Glück'	64777	783	9
187	103127	'Möglichkeiten'	64590	19	9
188	78824	'Gefühl'	64421	21	9
189	45530	'überw'	64075	7	9
190	85269	'Maßnahmen'	64065	1	1
191	58716	'ängen'	63440	163	6
192	54401	'ließen'	63345	3	1
193	71479	'muß'	63325	57	1
194	21365	'änger'	63069	652	6
195	63407	'völlig'	62712	9	9
196	62173	'verfüg'	62262	4	9
197	72173	'stände'	62208	56	6
198	27277	'Straße'	62169	1229	1
199	82309	'äte'	61931	183	6
200	74491	'länger'	61833	10	6
