primary_lang_by_rate	n_tokens	sum_greek_count	example_decoded_top5
med_Latn	13	20380037	',' | 'pa' | 'amp' | 'min' | 'Wu'
yss_Latn	31	12126364	'.' | 'ri' | 'me' | 'new' | 'God'
ban_Latn	65	7515412	'.\n' | ':\n' | 'In' | 'media' | 'Bal'
und_Beng	5	7039257	'' | 'support' | '″' | 'III' | 'Leo'
nrm_Latn	192	6818966	'0' | '2' | '\n\n\n' | 'Power' | 'ette'
vol_Latn	92	4563139	'5' | '4' | '8' | '6' | '%.'
nrf_Latn	67	3942639	'1' | '&' | '|' | 'Sc' | 'Duc'
und_Sgnw	23	2985153	'-' | '�' | 'DA' | 'Little' | 'Small'
und_Deva	22	2538995	'\n' | 'SH' | '----------------' | 'language' | 'IFT'
avk_Latn	162	2080263	'(' | ')\n' | ':' | 'World' | 'Web'
und_Grek	9	1775906	'�' | '»' | '�' | '½' | '°'
aym_Latn	179	1616906	'9' | 'P' | 'J' | 'Mercedes' | 'AP'
eng_Latn	1616	1480856	'the' | 'of' | 'and' | 'The' | 'The'
arb_Latn	27	1415580	'3' | 'al' | 'als' | 'AA' | 'Serie'
khs_Latn	42	1351634	':' | 'ola' | 'ita' | 'ena' | 'ew'
crh_Cyrl	8	1138069	'«' | '.)' | '(«' | '!)' | ')»'
swg_Latn	99	1063631	')' | '(' | 'H' | 'Sch' | 'Un'
nav_Latn	26	976929	'"' | ';' | 'B' | 'ó' | 'olin'
wal_Latn	45	917456	'7' | 'Mark' | 'ett' | 'oss' | 'ode'
kiu_Latn	236	881299	'/' | '[' | ']' | '[' | '.com'
gor_Latn	36	812405	'-' | 'oli' | 'ito' | 'RNA' | 'Band'
fro_Latn	91	722838	';\n' | '«' | ',\n' | ':\n' | 'ent'
dag_Latn	153	513123	'"' | '|' | 'FIFA' | 'Cup' | '′'
cbk_Latn	357	493823	'A' | 'O' | 'CE' | 'OS' | 'AN'
grc_Grek	9	458940	'�' | '�' | '�' | '·' | '��'
nds_Latn	159	412079	'),' | '%' | 'Bloom' | 'ern' | 'mann'
abq_Cyrl	6	348825	'»,' | 'I' | 'в' | 'г' | 'ва'
ido_Latn	71	331365	'%' | '$' | 'URL' | 'val' | 'Us'
ubu_Latn	35	329922	'“' | 'P' | 'one' | '.”' | 'mole'
bak_Cyrl	1	292458	'�'
ncx_Latn	27	285791	').' | 'T' | 'IU' | 'lam' | 'Je'
frr_Latn	60	284228	'–' | 'II' | 'Nord' | 'Beatles' | 'Nick'
mni_Latn	61	278548	'..\n' | '…' | '”' | '”\n' | 'Jack'
lld_Latn	145	275548	'T' | 'L' | 'L' | 'St' | 'ion'
quc_Latn	39	256336	'’' | 'are' | 'General' | 'Jimmy' | 'Pix'
grn_Latn	40	255367	').\n' | 'va' | 'Par' | 'ype' | 'Capital'
tlh_Latn	229	251842	'H' | 'D' | 'S' | 'IS' | 'Q'
got_Goth	1	243082	'�'
hwc_Latn	270	237830	'You' | 'you' | 'from' | 'One' | 'not'
bhl_Latn	27	236112	'!' | 'w' | 'Sun' | '-G' | 'Kate'
egl_Latn	103	229215	'C' | 'F' | 'M' | 'N' | 'IC'
war_Latn	250	219865	'il' | 'An' | 'ini' | 'ton' | 'George'
tzj_Latn	29	202485	"'" | 'ch' | 'ban' | 'Tak' | 'Per'
spy_Latn	24	198610	'/' | '+' | 'Y' | 'to' | 'room'
tzo_Latn	19	197392	'».\n' | 'box' | 'Viv' | 'SV' | 'onic'
pfl_Latn	97	196073	'!\n' | 'ff' | 'Wolf' | 'sch' | 'Un'
und_Knda	19	186223	'||' | '|\n' | '_' | '),\n' | 'Rights'
tca_Latn	27	185823	'R' | 'ü' | 'x' | 'R' | 'ma'
dak_Latn	165	184530	'S' | 'John' | 'ce' | 'Mary' | 'OK'
und_Cyrl	73	180207	'µ' | '®' | 'VA' | 'HA' | 'TH'
gag_Cyrl	16	177255	'».' | '*' | 'TM' | ']' | '-)'
mui_Latn	63	175067	'...' | '..' | '!!' | 'video' | '....'
mxq_Latn	17	174173	'�' | 'ky' | 'ty' | 'Es' | 'Net'
pdt_Latn	137	172862	'D' | 'IN' | 'EN' | 'CH' | 'ET'
rmn_Grek	14	171386	'µ' | '�' | 'Ü' | 'Ý' | 'Ü'
und_Tang	2	169278	'�' | 'Tang'
amp_Latn	71	164813	'F' | 'f' | 'if' | 'ft' | 'RO'
cuk_Latn	125	164507	'G' | 'X' | 'ad' | '-B' | '-R'
jbo_Latn	39	164127	'.' | '»\n' | 'cm' | 'ci' | 'oi'
frp_Latn	196	161105	'TV' | 'Robert' | 'SS' | 'ON' | 'Charles'
raw_Latn	16	159476	',' | '.\n' | 'sh' | 'Fair' | 'men'
cni_Latn	64	153697	'".' | 'ro' | 'ant' | 'ari' | 'ats'
pcm_Latn	225	153356	'for' | 'Guardian' | 'State' | 'UEFA' | 'For'
zyb_Latn	36	153013	'C' | 'en' | 'j' | 'iz' | 'uz'
ary_Arab	3	150870	'”' | '”.\n' | '،'
dnj_Latn	9	144993	"'" | '!»' | 'Kl' | '�' | 'Ö'
und_Bamu	15	142596	'�' | '-\n' | 'B' | 'Script' | 'version'
ded_Latn	116	139731	'New' | 'ac' | 'oc' | 'House' | 'Greek'
kal_Latn	89	137546	'ers' | 'ut' | 'ner' | 'ill' | 'ger'
gmh_Latn	207	135991	'berg' | 'land' | 'lin' | 'ack' | 'single'
und_Khmr	5	132369	'�' | '$\n' | 'earth' | 'Independent' | 'ZIP'
hif_Latn	150	131558	'Google' | 'blog' | 'Time' | 'SEO' | 'Love'
mjw_Latn	137	125354	'at' | 'College' | 'School' | 'SA' | 'Club'
dah_Latn	21	123139	'�' | 'Al' | 'de' | 'Be' | 'Kur'
ile_Latn	191	120168	'have' | 'It' | '--' | 'Nov' | 'del'
tpz_Latn	20	119782	'to' | 'ß' | 'TP' | 'Anti' | 'OH'
lin_Latn	123	119101	'email' | 'US' | 'AF' | 'ME' | 'BA'
lat_Latn	142	114914	'us' | 'um' | 'ium' | 'Qu' | 'Cur'
dig_Latn	17	114760	'M' | 'ml' | 'Ph' | 'Samuel' | 'Hip'
abk_Cyrl	6	110782	'",' | 'а' | 'а' | 'А' | '>>\n'
rnd_Latn	34	110664	'?\n' | 'ova' | 'end' | 'Ant' | 'CH'
ceb_Latn	113	110313	'°' | 'od' | 'Park' | 'Rock' | 'Washington'
cos_Latn	81	109334	'Windows' | 'u' | 'Amazon' | 'ost' | 'CBD'
kac_Latn	84	105428	'):' | '.org' | 'h' | 'te' | 'My'
glv_Latn	119	102690	'ley' | 'ry' | 'Disney' | 'yn' | 'my'
cop_Copt	2	102093	'�' | '�'
deu_Latn	249	102019	'Art' | 'der' | 'Team' | 'Ver' | 'und'
bjr_Latn	28	101997	'o' | 'of' | 'ano' | 'ase' | 'rid'
pau_Latn	68	100074	'a' | 'km' | 'Online' | 'el' | 'Bel'
cnh_Latn	70	99944	'News' | 'Journal' | 'Trump' | 'CD' | 'CNN'
ina_Latn	199	99870	'VPN' | 'ation' | 'ator' | 'Le' | 'ling'
ixl_Latn	18	99385	'A' | 'As' | 'Pet' | 'u' | 'As'
lim_Latn	144	97758	'De' | 'Van' | 'Blue' | 'Chris' | 'Alex'
agm_Latn	12	97199	'�' | 'at' | 'ise' | 'Aut' | '�'
crs_Latn	108	95305	'man' | 'Ferrari' | 'ann' | 'On' | 'Bill'
njo_Latn	57	94898	'er' | 'as' | 'ts' | 'ung' | 'imer'
hau_Latn	36	94726	'in' | 'ar' | 'ance' | 'uma' | 'Trust'
pck_Latn	40	93006	'in' | 'CC' | 'BC' | 'Road' | 'Manager'
iba_Latn	61	92966	'“' | 'au' | 'Sem' | 'ING' | 'Energy'
stq_Latn	121	91638	'ier' | 'Sk' | 'Se' | '-F' | 'Gl'
sco_Latn	190	89982	'Ford' | 'Scott' | 'Masters' | 'Cross' | 'Motor'
yby_Latn	27	89906	'O' | 'We' | 'aya' | 'we' | 'Sa'
bnp_Latn	27	88913	'V' | 'iki' | 'ure' | 'VI' | 'von'
ltz_Latn	171	88563	'fen' | 'ert' | 'Pl' | 'Tesla' | 'Tour'
mdf_Cyrl	19	88487	'.,' | '—' | '.).' | '№' | 'copyright'
pan_Latn	104	87285	'#' | 'Play' | 'Ly' | 'Music' | 'HD'
agu_Latn	23	87167	'i' | 'z' | 'y' | "'t" | 'sc'
non_Latn	46	85665	'gr' | 'Þ' | ');' | 'Thor' | 'Var'
nwi_Latn	16	85417	'K' | '-p' | 'arm' | 'Steven' | 'rik'
bqc_Latn	3	84408	'�' | 'Bee' | 'naz'
ium_Latn	37	83692	'v' | 'c' | 'iv' | '-H' | 'orn'
kha_Latn	92	82606	'Sh' | 'SS' | 'East' | 'Sh' | 'MD'
sma_Latn	51	82574	'h' | 'ie' | 'Bull' | 'off' | 'ht'
mah_Latn	73	82001	'COVID' | 'Center' | 'Johnson' | 'Health' | 'BS'
sja_Latn	18	80296	'–' | 'p' | 'per' | 'ida' | 'Ak'
cor_Latn	101	79766	'ans' | 'Word' | 'ow' | 'AR' | 'Williams'
gla_Latn	53	78733	'id' | 'Air' | 'son' | 'ach' | "'\n"
tok_Latn	50	77652	'·\n' | 'ki' | 'ten' | 'po' | 'CC'
min_Latn	69	77070	'ies' | 'Ar' | 'Sp' | 'up' | 'do'
tum_Latn	102	77036	'Tube' | 'United' | 'oma' | 'Greece' | 'South'
tpi_Latn	35	76919	'i' | 'im' | 'Long' | 'Tok' | 'Em'
myy_Latn	10	75466	'”,' | 'Mac' | 'iro' | 'Jac' | 'mas'
pdc_Latn	133	75233	'ah' | 'att' | 'ott' | 'Av' | 'Miller'
sin_Sinh	2	74621	'�' | '�'
acn_Latn	40	72375	'is' | 'sky' | 'by' | 'rol' | 'ams'
mlt_Latn	79	71926	'www' | 'Super' | '-P' | '-T' | '-K'
rmy_Latn	70	71322	'as' | 'Pro' | 'no' | 'web' | 'Pro'
rmc_Latn	42	70185	'K' | 'les' | 'but' | 'Del' | 'ral'
aeu_Latn	30	69758	'ol' | 'b' | 'q' | 'ev' | 'ail'
cym_Latn	100	69360	'fer' | '£' | 'eth' | 'Jones' | 'Lewis'
sid_Latn	105	69021	'ino' | 'ell' | 'Max' | 'ni' | 'SQL'
teo_Latn	29	68925	'E' | 'ony' | 'inos' | 'uka' | 'ges'
abt_Latn	30	67923	'W' | 'ate' | 'and' | 'é' | 'du'
ami_Latn	54	67622	'].' | '],' | '].\n' | 'CIA' | 'Outlook'
ify_Latn	48	66979	'an' | 'et' | '-g' | 'ble' | 'hel'
tah_Latn	12	66917	'a' | '’' | 'hip' | 'Helen' | 'oa'
srm_Latn	16	66162	'G' | 'see' | 'son' | 'ta' | 'lib'
npi_Latn	71	65356	'Facebook' | 'your' | 'news' | 'Photo' | 'arch'
roh_Latn	103	64884	'Server' | 'Gr' | 'podcast' | 'Java' | 'ras'
tgl_Latn	52	64841	'=' | '#' | 'Space' | 'Network' | 'Express'
pap_Latn	109	64533	'di' | 'Airlines' | 'Cro' | 'Beach' | 'Kelly'
tuk_Latn	50	63932	'ý' | 'ly' | 'ary' | 'yl' | 'ady'
hto_Latn	26	63745	'J' | 'ide' | 'illa' | 'Af' | 'fe'
kxc_Ethi	1	63697	'�'
asm_Latn	43	63409	'or' | '…' | 'Sir' | 'oth' | 'Mur'
kos_Latn	49	63297	'os' | 'El' | 'Ke' | 'OD' | 'uck'
acd_Latn	7	63167	'W' | 'm' | 'bon' | 'ono' | 'ames'
msy_Latn	29	62794	'n' | 'ir' | 'az' | 'gh' | 'bar'
aau_Latn	33	62217	'k' | 'ok' | 'kin' | 'ous' | 'yr'
bvz_Latn	36	62106	'ed' | 'Am' | 'ham' | ',”' | 'Bo'
diq_Latn	56	61873	'"\n' | 'Grand' | 'IP' | 'erd' | 'internet'
fra_Latn	181	61609	'»,' | 'des' | 'ations' | 'à' | 'les'
vmw_Latn	24	61061	'”.' | 'th' | 'her' | 'row' | 'Bi'
mbb_Latn	24	60693	'is' | 'David' | 'ge' | 'he' | 'yan'
lus_Latn	93	60650	'Office' | 'Hall' | 'Home' | 'DC' | '\\'
run_Latn	35	60240	'U' | 'BBC' | 'Champions' | 'Bur' | 'FC'
bdd_Latn	19	60138	'ina' | '.”\n' | 'he' | 'Co' | 'ya'
niu_Latn	44	59969	'e' | 'f' | 'Mail' | 'ua' | 'UT'
qxh_Latn	66	59597	'ash' | 'will' | 'ush' | 'Will' | 'Pay'
bbc_Latn	32	59545	'on' | 'do' | 'Ho' | 'Mars' | 'Ib'
und_Hung	2	59517	'�' | '�'
gil_Latn	20	58982	'I' | 'At' | 'aki' | 'rou' | 'Ana'
nak_Latn	28	58968	'io' | 'La' | 'la' | 'ite' | 'uto'
slk_Latn	35	58766	'ov' | '€' | '-mail' | 'Bitcoin' | 'kov'
bts_Latn	37	58335	'>' | '.)\n' | 'PS' | 'ors' | 'ani'
quf_Latn	27	58293	'Ch' | 'ay' | 'ata' | 'ami' | 'll'
arb_Arab	6	58267	'".\n' | 'من' | 'َّ' | 'في' | 'وَ'
pon_Latn	19	58014	'V' | 'Daily' | 'me' | 'well' | 'UN'
spa_Latn	41	57888	'de' | 'Los' | 'con' | 'Intel' | 'los'
dtp_Latn	91	56487	'Hotel' | 'OT' | 'PD' | 'Kom' | 'Mont'
sgc_Latn	46	56356	'et' | 'ap' | 'Uber' | 'ago' | '`'
tcz_Latn	69	56093	'Covid' | 'MS' | 'lockdown' | 'them' | 'hi'
dop_Latn	1	55954	's'
bis_Latn	63	55763	'em' | 'ong' | 'Of' | 'TC' | 'ae'
jav_Latn	33	54358	'?' | 'Xbox' | 'PVC' | 'but' | 'Drive'
cat_Latn	103	54250	'social' | 'ics' | 'project' | 'per' | 'ment'
hmo_Latn	24	54181	'ia' | 'ai' | 'ken' | 'Bad' | 'laminate'
lfn_Latn	104	53994	'("' | '")' | 'La' | 'Europa' | '"),'
aaz_Latn	30	53386	'U' | 'In' | 'Sin' | 'Fin' | '!”\n'
hus_Latn	22	52916	'al' | 'ch' | 'ARC' | 'Max' | 'IX'
mal_Latn	74	52772	'ath' | 'En' | 'Boeing' | 'Che' | 'MP'
vec_Latn	60	52716	'E' | 'Ven' | 'Hyper' | 'Com' | 'Forte'
tet_Latn	76	52610	'Bank' | 'eb' | '-L' | ',"' | 'CN'
ksh_Latn	81	52553	'Red' | 'ver' | 'Fl' | 'off' | 'Jr'
tur_Latn	34	52155	'Microsoft' | '.microsoft' | 'Bu' | 'yle' | 'iler'
ton_Latn	17	51177	'‘' | 'Pe' | 'BP' | 'oku' | 'Pe'
ptu_Latn	30	51067	'am' | 'All' | '!"' | 'pole' | 'anna'
nya_Latn	34	50828	'Netflix' | 'its' | 'USB' | 'Chrome' | 'ira'
rup_Latn	57	50821	'=' | 'cl' | 'lu' | '-bit' | 'ovich'
bzj_Latn	63	50764	'Wi' | 'hn' | 'pl' | 'Dis' | 'ays'
yua_Latn	56	50749	'el' | '.-' | 'micro' | 'Let' | 'Hz'
ang_Latn	64	50739	'þ' | 'Sc' | 'Her' | 'ness' | 'aster'
rcf_Latn	41	50509	'ot' | '!' | 'out' | 'Don' | 'PCR'
avu_Latn	9	49877	'b' | 'd' | 'tr' | 'dr' | 'dr'
kpv_Cyrl	4	49720	'...\n' | '�' | 'с' | 'ны'
rop_Latn	46	49404	'ob' | 'King' | 'en' | 'Wal' | 'osis'
efi_Latn	23	49037	'mm' | 'Ab' | 'pr' | 'Ed' | 'Christian'
ape_Latn	30	48929	'ak' | 'ud' | 'uk' | 'ek' | 'Ali'
jra_Latn	10	48865	'ing' | 'an' | 'Ad' | 'nam' | 'ple'
aso_Latn	38	48698	'ine' | 'ive' | 'ene' | 'ines' | 'Line'
som_Latn	37	48647	'ka' | 'ada' | 'news' | 'wood' | 'Fed'
tbg_Latn	44	48596	'ara' | 'int' | 'ora' | 'ika' | 'aro'
und_Brai	8	48209	'�' | '�' | '�' | '�' | '�'
rug_Latn	27	48113	'Z' | 'Me' | 'pop' | 'Tam' | 'asa'
mco_Latn	18	48101	'y' | 'ë' | 'Ext' | 'px' | 'xy'
hnj_Latn	32	47992	'og' | 'av' | 'ub' | 'has' | 'ws'
nap_Latn	129	47991	'IO' | 'MI' | 'LLC' | 'Vog' | 'cci'
kwy_Latn	18	47802	'N' | 'una' | 'akes' | 'MV' | 'Lum'
spl_Latn	13	47283	'e' | 'op' | 'Ot' | 'Kir' | 'â'
und_Bali	4	47159	'�' | '�' | '.pdf' | 'Leaf'
zea_Latn	46	47114	'ick' | 'ck' | 'ock' | 'den' | 'Jan'
krj_Latn	47	47000	'ag' | 'ang' | 'May' | 'Bruce' | 'Emmy'
aom_Latn	44	46297	'Paul' | 'ade' | 'uro' | 'Stephen' | 'arov'
chu_Cyrl	10	46034	'...' | '·' | '(!' | 'С' | 'с'
ace_Latn	47	45287	'NASA' | 'Open' | 'Global' | 'Ac' | 'Ray'
ikt_Latn	47	45062	'it' | 'Mal' | 'nik' | 'CP' | 'IQ'
bre_Latn	56	44758	'Bre' | 'our' | 'ar' | 'enn' | 'Nature'
tly_Latn	54	44463	'ron' | 'Im' | 'ison' | 'BMW' | 'Iron'
szl_Latn	75	44060	'ym' | 'Life' | 'com' | 'gr' | 'Candida'
maz_Latn	15	43803	'League' | 'c' | 'ue' | 'Last' | 'imi'
bem_Latn	22	43782	'+' | "''" | 'if' | 'Les' | 'IF'
glg_Latn	62	43781	'cookies' | 'que' | 'Gal' | 'ball' | 'Audi'
ekk_Latn	45	43766	'ist' | 'ks' | 'ust' | '.e' | 'imes'
gom_Latn	79	43700	'Game' | 'cho' | 'Rose' | 'Mat' | 'Anthony'
gcr_Latn	64	43659	'II' | 'ism' | 'sp' | 'Ron' | 'Khan'
mww_Latn	34	43532	'ab' | 'n' | 'ta' | 'ias' | 'ais'
che_Cyrl	25	43396	'—' | 'Business' | 'TS' | '%).' | 'Robin'
nhe_Latn	29	43269	'Phone' | 'Android' | 'CO' | 'Pad' | 'Store'
ilo_Latn	38	42030	'it' | ';"' | 'Day' | 'Ryan' | 'rones'
tel_Latn	94	41906	'elli' | 'body' | 'than' | 'protected' | 'next'
xho_Latn	44	41897	'-S' | '-A' | 'cottage' | 'Ig' | '-W'
dan_Latn	73	41755	'ESR' | 'der' | 'ret' | 'vis' | 'styling'
nan_Latn	50	41626	')' | 'Ch' | '--' | '-k' | '-l'
nah_Latn	63	41619	'CF' | 'Renault' | 'oll' | 'Volkswagen' | 'cal'
swe_Latn	80	41573	'ens' | 'EU' | 'under' | 'fast' | 'Att'
emp_Latn	27	41543	'r' | 'Bar' | 'ber' | 'da' | 'Id'
rwo_Latn	38	40521	'No' | 'oy' | 'und' | 'oni' | 'olo'
nob_Latn	71	40399	'visor' | 'ider' | 'ker' | 'best' | 'service'
hun_Latn	74	40339	'Laren' | '":' | 'Az' | 'zer' | 'Vettel'
crh_Latn	48	40301	'SARS' | '.A' | 'ort' | '-Co' | 'Astra'
vep_Latn	54	40154	'.:' | '»)' | '»),' | '»).' | 'status'
lhu_Latn	6	39772	'�' | 'ui' | '�' | 've' | "'ai"
zpz_Latn	29	39725	'or' | 'ec' | 'Or' | 'oz' | 'ze'
sop_Latn	27	39707	'’s' | 'Tw' | 'adi' | 'By' | 'UK'
chk_Latn	42	39686	'IS' | 'ü' | 'Sam' | 'we' | 'gen'
plt_Latn	28	39449	'ra' | 'ana' | 'ny' | 'iana' | 'vit'
gos_Latn	50	39437	'."\n' | 'ander' | 'ait' | '!"\n' | 'gers'
hui_Latn	37	38992	'And' | 'ime' | 'Ag' | 'ial' | 'aga'
hak_Latn	45	38989	'"\n' | '-t' | '-m' | 'Wikipedia' | 'Ph'
asm_Beng	1	38721	'�'
gum_Latn	43	38688	'ig' | 'ius' | 'ren' | 'cha' | 'chen'
kmg_Latn	20	38464	'ic' | 'ne' | 'uc' | 'demo' | 'pec'
orv_Cyrl	4	38312	'•' | 'и' | 'не' | '++'
und_Cher	15	38275	'�' | '�' | 'Deutsche' | '�' | '�'
mbt_Latn	37	38262	'Man' | 'Ne' | 'Pan' | 'ne' | 'Mag'
fur_Latn	68	38016	'[…]' | 'Radio' | 'ence' | 'par' | 'ign'
ron_Latn	75	37883	'ul' | '-Fi' | 'ice' | 'CF' | 'Pent'
boj_Latn	30	37641	'Q' | 'ib' | 'go' | 'ote' | 'ils'
wln_Latn	56	37514	'ins' | '",' | '-st' | 'ures' | 'Lou'
fry_Latn	60	37457	'ard' | 'Fr' | 'ols' | 'ear' | 'ste'
afr_Latn	66	37295	'ings' | 'Die' | 'die' | 'gel' | 'self'
gle_Latn	46	36679	'Excel' | 'Cl' | 'air' | 'Cl' | 'drones'
scn_Latn	57	36547	'CD' | 'Queen' | 'Maria' | '»;' | 'Brian'
ast_Latn	38	36178	'es' | 'Copa' | 'eros' | 'ient' | 'col'
gnn_Latn	27	36045	'ur' | 'ala' | 'ru' | 'ja' | 'yd'
yap_Latn	45	35850	'gin' | 'OL' | 'OM' | 'med' | 'Mot'
ibo_Latn	14	35591	'mg' | 'site' | 'any' | 'smartphones' | 'ego'
mam_Latn	23	35556	't' | 'xit' | 'Ex' | 'itz' | 'cast'
cac_Latn	29	35343	'd' | "'." | 'och' | 'inal' | 'alan'
luo_Latn	46	35070	'.[' | '.\n\n\n' | '[…' | 'Nike' | 'NY'
taq_Latn	29	35034	'."' | '-M' | 'ss' | '-w' | '.d'
ngu_Latn	20	35030	'on' | 'aj' | 'KGB' | 'not' | 'acon'
gug_Latn	42	34908	'pe' | 'AT' | 'ABC' | 'Up' | 'Ha'
ory_Latn	45	34240	'.ru' | '.M' | '.m' | '-"' | '…………'
pcd_Latn	73	33970	'!\n' | '’t' | 'pic' | 'quo' | 'Con'
nhw_Latn	27	33918	'ica' | 'li' | 'ual' | 'act' | 'qu'
dhv_Latn	39	33876	're' | 'tr' | 'Tro' | 'TH' | 'Bas'
sot_Latn	35	33782	'se' | 'lo' | 'eng' | 'let' | 'so'
mps_Latn	28	33671	'age' | 'Te' | 'ama' | 'Sol' | 'ali'
mwl_Latn	59	33632	'our' | 'Out' | 'Ass' | 'ones' | 'Coca'
cha_Latn	49	33591	'`' | 'Simon' | '.gov' | 'man' | 'Earth'
und_Mlym	62	33257	';' | ').' | '**' | 'FP' | 'Books'
mfe_Latn	59	33010	'Premier' | 'MS' | 'Coll' | 'Bond' | 'tex'
pms_Latn	59	32984	'-C' | 'ISO' | 'press' | 'Atlantic' | 'ant'
jam_Latn	64	32949	'Live' | 'Andrew' | 'Dem' | 'Cooper' | 'did'
lub_Latn	15	32798	'by' | 'Le' | 'elo' | 'Yosh' | 'Bis'
ata_Latn	26	32658	'ou' | 'ox' | 'no' | 'asi' | 'Lav'
dsb_Latn	50	32461	'bs' | 'Firefox' | 'Dol' | 'Ser' | 'Flash'
tso_Latn	18	32441	'X' | 'Sw' | 'end' | 'SW' | 'Hil'
tsn_Latn	26	32296	'kg' | 'ore' | 'ots' | 'Bor' | 'go'
lbj_Tibt	1	32179	'�'
vls_Latn	67	31988	'West' | 'Hamilton' | 'ord' | 'Wikimedia' | 'Rosberg'
tiv_Latn	39	31957	'DVD' | 'ima' | 'MBA' | 'aver' | 'Tor'
pam_Latn	75	31943	'Science' | 'History' | 'Channel' | 'Today' | 'anti'
kea_Latn	49	31873	'!!!' | '(“' | 'Barb' | '(...)' | 'Delta'
gsw_Latn	47	31755	'Dr' | 'izer' | 'Baby' | 'Matter' | 'Dr'
nld_Latn	65	31436	'over' | 'van' | 'Verstappen' | 'De' | 'water'
mpx_Latn	17	30996	'Y' | 'oke' | 'oba' | 'ige' | 'Log'
cdo_Hani	32	30776	'-s' | '-d' | '-c' | '),' | 'ng'
bew_Latn	39	30769	'Honda' | 'berry' | 'SD' | '�' | 'twitter'
eus_Latn	50	30689	'Gaz' | 'ria' | 'Zen' | 'prom' | 'Hor'
bmr_Latn	32	30634	'co' | 'ico' | 'Mo' | '.J' | 'oro'
bci_Latn	17	30501	'be' | 'San' | 'like' | 'ran' | 'Like'
sna_Latn	50	30481	'Linux' | 'ender' | 'zo' | 'Steam' | 'vin'
adj_Latn	13	30461	'm' | 'ab' | 'bre' | 'low' | 'Ny'
tay_Latn	59	30455	'NBA' | 'Sm' | 'MVP' | 'enc' | 'Gaga'
bar_Latn	84	30451	'board' | 'Sachs' | 'Jobs' | 'wick' | 'Hg'
kwn_Latn	27	30408	'AP' | 'ere' | 'ug' | 'ura' | 'water'
sag_Latn	22	30236	'Internet' | 'ke' | 'so' | 'Lo' | 'bi'
ben_Latn	61	30041	'Bon' | 'Story' | 'health' | 'ader' | 'Bang'
tlf_Latn	23	30003	'ip' | 'ale' | '-b' | '-n' | 'yo'
smo_Latn	15	29785	'o' | 'le' | '.O' | 'iga' | 'Fa'
div_Thaa	1	29774	'�'
und_Hebr	18	29722	'&' | '�' | '€' | '©' | '×'
top_Latn	22	29545	'x' | 'ask' | 'Russell' | 'kg' | 'win'
gkn_Latn	7	29528	'g' | 'Bo' | 'è' | 'works' | 'À'
als_Latn	52	29524	've' | 'ris' | 'Ball' | 'rit' | 'ues'
kik_Latn	51	29450	'William' | 'China' | 'MC' | 'uri' | 'Fred'
nzi_Latn	17	29336	'le' | 'azole' | 'Gil' | 'Gy' | 'vol'
hsb_Latn	46	29261	'SPD' | 'CDU' | 'je' | 'Now' | '/S'
ars_Arab	28	29005	'...\n' | '....\n' | '..' | '=-' | '<<'
pjt_Latn	32	29004	'ula' | 'Pal' | 'yt' | 'pit' | 'ump'
bsn_Latn	15	28912	'To' | 'To' | 'are' | 'got' | 'aja'
tam_Latn	47	28781	'Th' | 'NT' | 'LL' | '----------------------------- | 'app'
cbv_Latn	14	28687	't' | 'j' | 'We' | 'ih' | 'td'
fkv_Latn	51	28533	'@example' | '________' | '.last' | 'Mik' | 'mark'
nno_Latn	54	28527	'Men' | 'net' | 'Det' | 'Hard' | 'Han'
